wojewodztwo_teryt;wojewodztwo_nazwa;powiat_teryt;powiat_nazwa;gmina_teryt;gmina_nazwa;kategoria;liczba_ludnosci;w1_zaszczepieni_pacjenci;w3_zaszczepieni_pelna_dawka;%_zaszczepionych;%_zaszczepionych_pe�n�_dawk�;w1_zaszczepieni_w_wieku_0_11;w1_zaszczepieni_w_wieku_12_19;w1_zaszczepieni_w_wieku_20_39;w1_zaszczepieni_w_wieku_40_59;w1_zaszczepieni_w_wieku_60_69;w1_zaszczepieni_w_wieku_70plus;w3_zaszczepieni_pe�n�_dawk�_w_wieku_0_11;w3_zaszczepieni_pe�n�_dawk�_w_wieku_12_19;w3_zaszczepieni_pe�n�_dawk�_w_wieku_20_39;w3_zaszczepieni_pe�n�_dawk�_w_wieku_40_59;w3_zaszczepieni_pe�n�_dawk�_w_wieku_60_69;w3_zaszczepieni_pe�n�_dawk�_w_wieku_70plus
30;wielkopolskie;3021;poznański;3021011;Luboń;;32015;20996;20462;65,5818;63,9138;1;1795;5749;7460;2931;3060;1;1716;5554;7322;2875;2994
14;mazowieckie;1432;warszawski zachodni;1432013;gm.m-w. Błonie;Warszawski;21610;14176;13802;65,5993;63,8686;0;995;3819;4711;2287;2364;0;931;3714;4599;2238;2320
22;pomorskie;2210;nowodworski;2210011;Krynica Morska;Elbląski;1290;840;820;65,1163;63,5659;0;54;204;285;175;122;0;54;193;281;171;121
14;mazowieckie;1421;pruszkowski;1421021;Pruszków;;62623;40968;39800;65,4201;63,5549;0;2754;11771;13639;6053;6751;0;2590;11425;13308;5907;6570
30;wielkopolskie;3021;poznański;3021172;gm.w Tarnowo Podgórne;Poznański;28908;18867;18321;65,2657;63,3769;0;1595;5669;6636;2780;2187;0;1494;5453;6496;2730;2148
30;wielkopolskie;3021;poznański;3021143;gm.m-w. Stęszew;Poznański;15125;9786;9506;64,7008;62,8496;0;697;2805;3277;1697;1310;0;667;2727;3222;1664;1226
30;wielkopolskie;3021;poznański;3021163;gm.m-w. Swarzędz;;52206;33567;32679;64,2972;62,5963;0;2679;10109;11815;4862;4102;0;2539;9782;11577;4769;4012
32;zachodniopomorskie;3205;gryficki;3205072;gm.w Rewal;Szczeciński;3852;2503;2410;64,9792;62,5649;0;148;606;887;451;411;0;138;581;852;441;398
22;pomorskie;2262;Gdynia;2262011;Gdynia;;244969;157684;153258;64,369;62,5622;0;9544;41974;46827;26257;33082;0;8983;40692;45668;25583;32332
14;mazowieckie;1421;pruszkowski;1421052;gm.w Nadarzyn;Warszawski;14353;9262;8978;64,5301;62,5514;0;818;2607;3471;1337;1029;0;772;2515;3381;1304;1006
30;wielkopolskie;3002;czarnkowsko-trzcianecki;3002011;Czarnków;Pilski;10464;6735;6533;64,3635;62,4331;0;423;1476;2136;1411;1289;0;392;1431;2064;1378;1268
14;mazowieckie;1432;warszawski zachodni;1432022;gm.w Izabelin;Warszawski;10560;6790;6581;64,2992;62,3201;0;600;1609;2334;1204;1043;0;568;1546;2272;1175;1020
14;mazowieckie;1408;legionowski;1408011;Legionowo;;53529;34117;33353;63,7355;62,3083;0;2499;8297;11409;5635;6277;0;2389;8092;11174;5547;6151
14;mazowieckie;1421;pruszkowski;1421033;gm.m-w. Brwinów;Warszawski;26812;17181;16705;64,0795;62,3042;0;1297;4539;6108;2683;2554;0;1215;4403;5972;2624;2491
2;dolnośląskie;223;wrocławski;223052;gm.w Kobierzyce;Wrocławski;22154;14237;13798;64,2638;62,2822;2;1239;4523;5338;1752;1383;1;1158;4320;5231;1730;1358
22;pomorskie;2264;Sopot;2264011;Sopot;;35286;22537;21930;63,8695;62,1493;1;1182;5539;6205;3784;5826;1;1112;5393;6050;3684;5690
30;wielkopolskie;3021;poznański;3021042;gm.w Czerwonak;Poznański;27780;17653;17258;63,5457;62,1238;0;1467;4573;6263;3277;2073;0;1398;4425;6174;3225;2036
10;łódzkie;1020;zgierski;1020011;Głowno;Łódzki;13961;9079;8620;65,0312;61,7434;0;440;2282;3016;1595;1746;0;402;2150;2901;1515;1652
12;małopolskie;1206;krakowski;1206172;gm.w Zielonki;Krakowski;23690;14867;14556;62,7564;61,4436;0;1294;4288;5464;2038;1783;0;1228;4169;5381;2014;1764
30;wielkopolskie;3021;poznański;3021132;gm.w Rokietnica;Poznański;19326;12176;11859;63,0032;61,3629;0;1139;3871;4487;1502;1177;0;1085;3767;4392;1462;1153
24;śląskie;2401;będziński;2401042;gm.w Bobrowniki;Katowicki;12122;7587;7432;62,5887;61,31;0;483;1648;2591;1424;1441;0;460;1604;2554;1398;1416
14;mazowieckie;1432;warszawski zachodni;1432063;gm.m-w. Ożarów Mazowiecki;Warszawski;26151;16474;16026;62,9957;61,2826;0;1103;5113;5646;2479;2133;0;1047;4956;5494;2443;2086
30;wielkopolskie;3021;poznański;3021123;gm.m-w. Pobiedziska;Poznański;19943;12549;12216;62,9243;61,2546;0;1016;3507;4387;2045;1594;0;960;3393;4297;2008;1558
30;wielkopolskie;3024;szamotulski;3024073;gm.m-w. Szamotuły;;30188;18852;18462;62,4487;61,1568;0;1365;5134;6237;3250;2866;0;1298;5011;6141;3204;2808
30;wielkopolskie;3021;poznański;3021052;gm.w Dopiewo;Poznański;29328;18341;17928;62,5375;61,1293;0;1720;5865;6972;2188;1596;0;1646;5707;6856;2153;1566
30;wielkopolskie;3021;poznański;3021072;gm.w Komorniki;;31474;19777;19206;62,836;61,0218;0;1776;6745;7625;1982;1649;0;1682;6524;7465;1929;1606
24;śląskie;2469;Katowice;2469011;Katowice;;290553;181453;177215;62,4509;60,9923;3;9268;48242;53743;32450;37747;2;8733;46992;52641;31879;36968
10;łódzkie;1061;Łódź;1061011;Łódź;;672185;420544;409254;62,5637;60,8841;2;21761;102976;122727;79939;93139;0;20385;99605;119835;78210;91219
14;mazowieckie;1432;warszawski zachodni;1432072;gm.w Stare Babice;Warszawski;19605;12286;11929;62,6677;60,8467;0;1055;3076;4614;1957;1584;0;1000;2964;4508;1910;1547
12;małopolskie;1206;krakowski;1206082;gm.w Michałowice;Krakowski;10909;6800;6633;62,3339;60,803;0;582;1847;2530;1037;804;0;556;1797;2479;1018;783
30;wielkopolskie;3021;poznański;3021033;gm.m-w. Buk;Poznański;12673;8004;7677;63,1579;60,5776;0;543;2302;2733;1259;1167;0;512;2215;2619;1219;1112
14;mazowieckie;1417;otwocki;1417011;Józefów;Warszawski;20741;12914;12560;62,2632;60,5564;0;1098;3074;4464;2093;2185;0;1051;2975;4365;2039;2130
14;mazowieckie;1417;otwocki;1417043;gm.m-w. Karczew;Warszawski;15930;9960;9639;62,5235;60,5085;0;568;2566;3235;1910;1681;0;522;2451;3145;1876;1645
